type,name,dependencies_count,dependencies,header
PROCEDURE,MakeDB,26,"Base_ItemType, Base_Months, Base_SeMahe, Base_ShakhesYerSeMahe, MakeDB, base_IntpVaziat, base_NoteGroup, base_PersonalityTyp, base_ShakhesType, base_TajhzType, base_ZrLc, base_ader, base_book, base_book_list, base_fhbh, base_fsbs, base_nmmhb, base_pvst, base_shfs, base_sorc, base_sorc_list, base_tyun, base_unit, base_unit_raw, brv_mult, dbo",CREATE PROCEDURE [dbo].[MakeDB] @NoAna bit
PROCEDURE,Manual_Edit_Acts_Units,0,,"CREATE PROCEDURE Manual_Edit_Acts_Units @Wrong_code int , @correct_code int AS"
PROCEDURE,Manual_Edit_Grop_Names,0,,"CREATE PROCEDURE Manual_Edit_Grop_Names @Wrong_code int , @correct_code int AS"
PROCEDURE,Manual_Edit_Sorc_List,0,,"CREATE PROCEDURE Manual_Edit_Sorc_List @Wrong_code int , @correct_code int"
PROCEDURE,Manual_Edit_Units,0,,"CREATE PROCEDURE Manual_Edit_Units @Wrong_code int , @correct_code int AS"
PROCEDURE,new_project_permissions_asnad,1,new_project_permissions_asnad,"CREATE PROCEDURE [dbo].[new_project_permissions_asnad] (@contract_id int,@role_id int)"
PROCEDURE,new_project_permissions_For_Tree,2,"brv_Template, new_project_permissions_For_Tree","CREATE PROCEDURE [dbo].[new_project_permissions_For_Tree] (@contract_id int,@role_id INT , @HasEdit INT)"
PROCEDURE,new_project_permissions_Full,2,"brv_Access, new_project_permissions_Full","CREATE PROCEDURE [dbo].[new_project_permissions_Full] (@contract_id int,@role_id int)"
PROCEDURE,Optimize_DB,0,,CREATE PROCEDURE Optimize_DB @db nvarchar(100)
PROCEDURE,PSNIMPORT01_prepare,1,psn_importer,CREATE PROCEDURE PSNIMPORT01_prepare
PROCEDURE,PSNIMPORT02_unit,0,,CREATE PROCEDURE PSNIMPORT02_unit
PROCEDURE,PSNIMPORT05_add_ader,0,,CREATE PROCEDURE PSNIMPORT05_add_ader @code int
PROCEDURE,RebuildAllIndex,0,,CREATE PROCEDURE RebuildAllIndex
PROCEDURE,set_user_state_Acc,1,set_user_state_Acc,"CREATE PROCEDURE [dbo].[set_user_state_Acc] @ComputerName nvarchar(50),@ForceLogOut bit AS"
PROCEDURE,set_user_state_Acc,1,set_user_state_Acc,"CREATE PROCEDURE [dbo].[set_user_state_Acc] @ComputerName nvarchar(50),@ForceLogOut bit AS"
PROCEDURE,set_user_state_asnad,1,set_user_state_asnad,CREATE PROCEDURE dbo.set_user_state_asnad @ComputerName nvarchar(50) AS
PROCEDURE,set_user_state_bhz,1,set_user_state_bhz,"CREATE PROCEDURE dbo.set_user_state_bhz @ComputerName nvarchar(50),@ForceLogOut bit AS"
PROCEDURE,set_user_state_brv,1,set_user_state_brv,"CREATE PROCEDURE [dbo].[set_user_state_brv] @ComputerName nvarchar(50),@ForceLogOut bit AS"
PROCEDURE,set_user_state_brv,1,set_user_state_brv,"CREATE PROCEDURE [dbo].[set_user_state_brv] @ComputerName nvarchar(50),@ForceLogOut bit AS"
PROCEDURE,set_user_state_brv,1,set_user_state_brv,"CREATE PROCEDURE [dbo].[set_user_state_brv] @ComputerName nvarchar(50),@ForceLogOut bit AS"
PROCEDURE,set_user_state_brv,1,set_user_state_brv,"CREATE PROCEDURE [dbo].[set_user_state_brv] @ComputerName nvarchar(50),@ForceLogOut bit AS"
PROCEDURE,set_user_state_peik,1,set_user_state_peik,CREATE PROCEDURE dbo.set_user_state_peik @ComputerName nvarchar(50) AS
PROCEDURE,set_user_state_peik,1,set_user_state_peik,CREATE PROCEDURE dbo.set_user_state_peik @ComputerName nvarchar(50) AS
PROCEDURE,SetCodeAmelInSource,2,"Correct, SetCodeAmelInSource",CREATE PROCEDURE [dbo].[SetCodeAmelInSource] (@Code int)
PROCEDURE,SetKarnamaFields,3,"GetPersonalityTypeId, SetKarnamaFields, brv_type",CREATE PROCEDURE [dbo].[SetKarnamaFields]
PROCEDURE,SetKarnamaFields,6,"GetPersonalityTypeId, GetStuBarcode, SetKarnamaFields, brv_situ, brv_type, dt_getpropertiesbyid_vcs",CREATE PROCEDURE [dbo].[SetKarnamaFields]
PROCEDURE,SetKarnamaFieldsSitu,3,"GetStuBarcode, SetKarnamaFieldsSitu, brv_situ",create PROCEDURE [dbo].[SetKarnamaFieldsSitu]
PROCEDURE,sp_alterdiagram,2,"sp_alterdiagram, sysdiagrams",CREATE PROCEDURE dbo.sp_alterdiagram
PROCEDURE,sp_creatediagram,2,"sp_creatediagram, sysdiagrams",CREATE PROCEDURE dbo.sp_creatediagram
PROCEDURE,sp_creatediagram,2,"sp_creatediagram, sysdiagrams",CREATE PROCEDURE dbo.sp_creatediagram
PROCEDURE,sp_dropdiagram,2,"sp_dropdiagram, sysdiagrams",CREATE PROCEDURE dbo.sp_dropdiagram
PROCEDURE,sp_helpdiagramdefinition,2,"sp_helpdiagramdefinition, sysdiagrams",CREATE PROCEDURE dbo.sp_helpdiagramdefinition
PROCEDURE,sp_helpdiagrams,2,"sp_helpdiagrams, sysdiagrams",CREATE PROCEDURE dbo.sp_helpdiagrams
PROCEDURE,Sp_Manage_ader_fhbh_Relation,3,"Sp_Manage_ader_fhbh_Relation, base_ader, base_fhbh",CREATE PROCEDURE [dbo].[Sp_Manage_ader_fhbh_Relation] ( @Flag INT )
PROCEDURE,sp_renamediagram,2,"sp_renamediagram, sysdiagrams",CREATE PROCEDURE dbo.sp_renamediagram
PROCEDURE,sp_upgraddiagrams,2,"sp_upgraddiagrams, sysdiagrams",CREATE PROCEDURE dbo.sp_upgraddiagrams
PROCEDURE,SpDeleteTypeSituDependencies,0,,CREATE PROCEDURE SpDeleteTypeSituDependencies
PROCEDURE,SVZIMPORT01_prepare,1,svz_importer,CREATE PROCEDURE SVZIMPORT01_prepare
PROCEDURE,SVZIMPORT02_unit,0,,CREATE PROCEDURE SVZIMPORT02_unit
