type,name,dependencies_count,dependencies,header,category
FUNCTION,GetStuBarcode,1,GetStuBarcode,CREATE FUNCTION [dbo].[GetStuBarcode],نیازمند بررسی
FUNCTION,GetTypId,0,,CREATE FUNCTION GetTypId,نیازمند بررسی
FUNCTION,IsChar,0,,CREATE FUNCTION IsChar,Utility / نرمال‌سازی مقدار
FUNCTION,ISEmptyOrNUll,1,ISEmptyOrNUll,CREATE FUNCTION [dbo].[ISEmptyOrNUll],Utility / نرمال‌سازی مقدار
FUNCTION,IsProjectAvailable,0,,"CREATE FUNCTION IsProjectAvailable ( @ContractID int, @RoleID int)",نیازمند بررسی
FUNCTION,ISZeroOrNUll,0,,CREATE FUNCTION ISZeroOrNUll,Utility / نرمال‌سازی مقدار
FUNCTION,ISZeroOrNUllDecimal_10,4,"ISZeroOrNUllDecimal_10, brv_nmmhb, brv_sorc, brv_sorc_all",CREATE FUNCTION [dbo].[ISZeroOrNUllDecimal_10],Utility / نرمال‌سازی مقدار
FUNCTION,ISZeroOrNUllDecimal_6,1,ISZeroOrNUllDecimal_6,CREATE FUNCTION [dbo].[ISZeroOrNUllDecimal_6],Utility / نرمال‌سازی مقدار
FUNCTION,ISZeroOrNUllFloat,1,ISZeroOrNUllFloat,CREATE FUNCTION [dbo].[ISZeroOrNUllFloat],Utility / نرمال‌سازی مقدار
FUNCTION,KhmtHasErrInRad,1,brv_khmt,CREATE FUNCTION KhmtHasErrInRad,نیازمند بررسی
FUNCTION,KhmtHasErrInRadDT,1,brv_khmt,CREATE FUNCTION KhmtHasErrInRadDT,نیازمند بررسی
FUNCTION,LstUsesOfUnit,7,"LstUsesOfUnit, atm_Detail_Parts, base_fhbh, base_sorc_list, base_unit_raw, brv_fhbh, brv_sorc_all",CREATE FUNCTION [dbo].[LstUsesOfUnit],نیازمند بررسی
FUNCTION,make_nuse,0,,create Function make_nuse (@Str nvarchar(2) ),نیازمند بررسی
FUNCTION,MakeDate,2,"AddZeroToMake2Digit, MakeDate",CREATE FUNCTION [dbo].[MakeDate],Utility / نرمال‌سازی مقدار
FUNCTION,MakeFilterForNufh,0,,CREATE FUNCTION MakeFilterForNufh,نیازمند بررسی
FUNCTION,MyReplace,1,MyReplace,CREATE FUNCTION [dbo].[MyReplace] (@vchValue nvarchar(4000)),Utility / نرمال‌سازی مقدار
FUNCTION,project_row_count,1,project_row_count,"CREATE FUNCTION [dbo].project_row_count ( @code int , @nusv int , @type int)",نیازمند بررسی
FUNCTION,RemoveLastDot,1,RemoveLastDot,CREATE FUNCTION [dbo].[RemoveLastDot],نیازمند بررسی
FUNCTION,ReturnZeroORNullForFloat,1,ReturnZeroORNullForFloat,CREATE FUNCTION [dbo].[ReturnZeroORNullForFloat],Utility / نرمال‌سازی مقدار
FUNCTION,ReturnZeroWithNullForBit,1,ReturnZeroWithNullForBit,CREATE FUNCTION [dbo].[ReturnZeroWithNullForBit],Utility / نرمال‌سازی مقدار
FUNCTION,ReturnZeroWithNullForFloat,1,ReturnZeroWithNullForFloat,create FUNCTION [dbo].[ReturnZeroWithNullForFloat],Utility / نرمال‌سازی مقدار
FUNCTION,ReturnZeroWithNullForInt,1,ReturnZeroWithNullForInt,create FUNCTION [dbo].[ReturnZeroWithNullForInt],Utility / نرمال‌سازی مقدار
FUNCTION,ReturnZeroWithNullForSmallInt,1,ReturnZeroWithNullForSmallInt,CREATE FUNCTION [dbo].[ReturnZeroWithNullForSmallInt],Utility / نرمال‌سازی مقدار
FUNCTION,ReturnZeroWithNullForString,1,ReturnZeroWithNullForString,CREATE FUNCTION [dbo].[ReturnZeroWithNullForString],Utility / نرمال‌سازی مقدار
